"No.","Time","Source","Destination","Protocol","Length","Info"
"726","7.215259234","192.168.1.208","3.218.90.66","TCP","66","35164  >  443 [ACK] Seq=2526 Ack=6618 Win=64128 Len=0 TSval=2265000648 TSecr=46736319"
"727","7.607278885","192.168.1.208","52.109.8.71","TCP","54","59780  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0"
"728","7.634605386","52.109.8.71","192.168.1.208","TCP","60","[TCP ACKed unseen segment] 443  >  59780 [ACK] Seq=1 Ack=2 Win=2053 Len=0"
"729","8.911765334","54.198.177.131","192.168.1.208","TLSv1.2","112","Application Data"
"730","8.911828891","192.168.1.208","54.198.177.131","TCP","66","42308  >  443 [ACK] Seq=1297 Ack=6026 Win=64128 Len=0 TSval=4032403473 TSecr=374717389"
"731","8.911765991","54.198.177.131","192.168.1.208","TLSv1.2","97","Encrypted Alert"
"732","8.911766106","54.198.177.131","192.168.1.208","TCP","97","[TCP Out-Of-Order] 443  >  42308 [FIN, PSH, ACK] Seq=6026 Ack=1297 Win=29184 Len=31 TSval=374717409 TSecr=4032400345"
"733","8.911884483","192.168.1.208","54.198.177.131","TCP","78","42308  >  443 [ACK] Seq=1297 Ack=6058 Win=64128 Len=0 TSval=4032403473 TSecr=374717409 SLE=6026 SRE=6058"
"734","8.912214452","192.168.1.208","54.198.177.131","TCP","66","42308  >  443 [FIN, ACK] Seq=1297 Ack=6058 Win=64128 Len=0 TSval=4032403473 TSecr=374717409"
"735","8.944877726","54.198.177.131","192.168.1.208","TCP","66","443  >  42308 [ACK] Seq=6058 Ack=1298 Win=29184 Len=0 TSval=374717428 TSecr=4032403473"
"736","8.991256142","172.217.212.189","192.168.1.208","UDP","88","443  >  38213 Len=46"
"737","8.997195504","192.168.1.208","172.217.212.189","UDP","75","38213  >  443 Len=33"
"738","9.191962123","192.168.1.208","172.217.212.189","UDP","75","38213  >  443 Len=33"
"739","9.220441980","172.217.212.189","192.168.1.208","UDP","67","443  >  38213 Len=25"
"740","9.421282277","192.168.1.208","172.217.212.189","UDP","75","38213  >  443 Len=33"
"741","9.449681751","172.217.212.189","192.168.1.208","UDP","67","443  >  38213 Len=25"
"742","9.651143839","192.168.1.208","172.217.212.189","UDP","75","38213  >  443 Len=33"
"743","9.655266957","192.168.1.208","142.250.111.188","TCP","66","43594  >  5228 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=829427704 TSecr=1859247383"
"744","9.655298495","192.168.1.208","104.18.199.63","TCP","54","45882  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0"
"745","9.669378408","104.18.199.63","192.168.1.208","TCP","60","[TCP ACKed unseen segment] 443  >  45882 [ACK] Seq=1 Ack=2 Win=71 Len=0"
"746","9.679598723","172.217.212.189","192.168.1.208","UDP","67","443  >  38213 Len=25"
